epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4399.56,0.65229,0.37572,0.9492,0.9545,0.96611,0.98247,0.85401,0.6108,0.31873,0.92828,0.005842,0.005842,0.005842
44,4502.42,0.64939,0.37488,0.94797,0.96055,0.96441,0.9825,0.85579,0.60832,0.31457,0.92516,0.005743,0.005743,0.005743
45,4604.87,0.64957,0.37312,0.94902,0.96033,0.96383,0.98314,0.85702,0.60798,0.3159,0.92602,0.005644,0.005644,0.005644
46,4707.5,0.65065,0.37331,0.95031,0.95968,0.96262,0.98272,0.8573,0.60643,0.31559,0.92568,0.005545,0.005545,0.005545
47,4810.91,0.64446,0.369,0.9471,0.95673,0.96331,0.98221,0.85776,0.60542,0.31731,0.92445,0.005446,0.005446,0.005446
48,4915.77,0.64362,0.36657,0.94718,0.95424,0.96086,0.98127,0.85782,0.60495,0.32214,0.92439,0.005347,0.005347,0.005347
49,5022.08,0.64436,0.36392,0.94711,0.95927,0.95914,0.98154,0.85758,0.60419,0.31627,0.92412,0.005248,0.005248,0.005248
50,5128.25,0.64243,0.36345,0.9469,0.95844,0.95901,0.98143,0.85775,0.60344,0.31846,0.92445,0.005149,0.005149,0.005149
51,5233.81,0.64205,0.36064,0.94639,0.95221,0.9646,0.98066,0.85749,0.60366,0.32073,0.92432,0.00505,0.00505,0.00505
52,5340.68,0.64299,0.36551,0.947,0.95861,0.96253,0.98203,0.85825,0.60168,0.31468,0.92303,0.004951,0.004951,0.004951
53,5451.01,0.6382,0.35564,0.94337,0.95572,0.96551,0.98153,0.85852,0.60323,0.3149,0.92262,0.004852,0.004852,0.004852
54,5561.27,0.63743,0.35533,0.94467,0.95853,0.96337,0.98167,0.85905,0.6025,0.31456,0.92264,0.004753,0.004753,0.004753
55,5666,0.63776,0.35358,0.94446,0.96071,0.96116,0.98149,0.86028,0.60135,0.31453,0.92225,0.004654,0.004654,0.004654
56,5767.07,0.63723,0.35455,0.94305,0.95619,0.9655,0.98188,0.86031,0.6006,0.31239,0.92144,0.004555,0.004555,0.004555
57,5864.83,0.63543,0.34867,0.94292,0.96066,0.96479,0.98164,0.86066,0.60091,0.31009,0.92211,0.004456,0.004456,0.004456
58,5963.12,0.63616,0.3509,0.94446,0.96066,0.96467,0.98139,0.86094,0.59932,0.3108,0.9221,0.004357,0.004357,0.004357
59,6064.57,0.6338,0.34626,0.9427,0.96235,0.96338,0.98068,0.8605,0.5992,0.31231,0.92238,0.004258,0.004258,0.004258
60,6164.27,0.63878,0.34666,0.94354,0.96,0.96466,0.98056,0.86051,0.59781,0.31251,0.92133,0.004159,0.004159,0.004159
61,6259.69,0.63134,0.34244,0.93895,0.95836,0.96405,0.98128,0.86171,0.59756,0.31127,0.92025,0.00406,0.00406,0.00406
62,6354.96,0.63361,0.33971,0.94077,0.96072,0.96346,0.98057,0.86175,0.59768,0.31137,0.92006,0.003961,0.003961,0.003961
63,6450.02,0.62653,0.33663,0.93952,0.95924,0.96575,0.98012,0.86152,0.59704,0.3123,0.91945,0.003862,0.003862,0.003862
64,6545.71,0.62844,0.33442,0.9387,0.95991,0.96506,0.98029,0.86139,0.59758,0.31194,0.91929,0.003763,0.003763,0.003763
65,6641.49,0.62755,0.33462,0.93937,0.96134,0.96555,0.98018,0.86186,0.59721,0.31063,0.92001,0.003664,0.003664,0.003664
66,6737.34,0.62387,0.33308,0.93934,0.96304,0.96536,0.98093,0.86385,0.59654,0.30806,0.92005,0.003565,0.003565,0.003565
67,6832.99,0.62641,0.3343,0.93719,0.96374,0.96335,0.98137,0.86426,0.5964,0.30791,0.91939,0.003466,0.003466,0.003466
68,6928.55,0.62423,0.32647,0.93822,0.96004,0.96693,0.98134,0.8645,0.59594,0.30834,0.91904,0.003367,0.003367,0.003367
69,7024.36,0.62459,0.32895,0.93723,0.95693,0.96803,0.98136,0.86448,0.59578,0.30861,0.91888,0.003268,0.003268,0.003268
70,7122.37,0.62416,0.32562,0.93732,0.95758,0.96628,0.98105,0.86457,0.59581,0.30922,0.91876,0.003169,0.003169,0.003169
71,7220.53,0.62041,0.3258,0.93758,0.9565,0.96601,0.98109,0.86491,0.59548,0.30993,0.91872,0.00307,0.00307,0.00307
72,7318.46,0.61997,0.32512,0.93683,0.95617,0.96443,0.98095,0.86518,0.59516,0.30978,0.91875,0.002971,0.002971,0.002971
73,7416.5,0.62078,0.32012,0.93585,0.95664,0.96428,0.98097,0.8656,0.5949,0.30913,0.9183,0.002872,0.002872,0.002872
74,7514.95,0.61883,0.31806,0.93494,0.95435,0.96566,0.98077,0.86537,0.59444,0.30998,0.91789,0.002773,0.002773,0.002773
75,7612.82,0.6164,0.31963,0.93418,0.95402,0.96685,0.98093,0.86583,0.5941,0.30979,0.91791,0.002674,0.002674,0.002674
76,7711.28,0.61437,0.31821,0.93526,0.95407,0.96622,0.98095,0.86557,0.59399,0.31003,0.91784,0.002575,0.002575,0.002575
77,7809.06,0.61416,0.31256,0.93297,0.9531,0.96728,0.98077,0.86571,0.59417,0.31047,0.91795,0.002476,0.002476,0.002476
78,7907.46,0.61321,0.30967,0.9333,0.95383,0.96706,0.98037,0.86539,0.59403,0.31105,0.91786,0.002377,0.002377,0.002377
79,8005.69,0.61188,0.30952,0.93411,0.95564,0.96565,0.98035,0.86541,0.59395,0.3108,0.91799,0.002278,0.002278,0.002278
80,8102.51,0.61119,0.3096,0.93207,0.95553,0.96545,0.98035,0.86553,0.59393,0.31067,0.91793,0.002179,0.002179,0.002179
81,8197.85,0.60769,0.30695,0.92932,0.95523,0.96535,0.98026,0.86563,0.59381,0.31051,0.91776,0.00208,0.00208,0.00208
82,8293.24,0.6084,0.30593,0.93048,0.95381,0.96578,0.98014,0.86584,0.59373,0.31037,0.91764,0.001981,0.001981,0.001981
83,8388.59,0.60959,0.30635,0.93129,0.95357,0.96553,0.98012,0.86613,0.59357,0.31038,0.91775,0.001882,0.001882,0.001882
84,8483.87,0.60443,0.30368,0.92949,0.95573,0.96268,0.98033,0.86617,0.59334,0.31044,0.91758,0.001783,0.001783,0.001783
85,8579.44,0.60479,0.30142,0.92869,0.95145,0.96791,0.98031,0.86663,0.59315,0.31011,0.91737,0.001684,0.001684,0.001684
86,8674.78,0.60489,0.29767,0.92867,0.95351,0.96605,0.98035,0.86646,0.59287,0.31056,0.91715,0.001585,0.001585,0.001585
